"id","treatment","gender","course_taken","city","education","fathers_ed","mothers_ed","item1","item2","item3","item4","item5","item6","higher_ed","age","total_income","total_house_member","gen_att","income_per_member","wage01","wage","wagepr01","wagepr","incfm01","incfm","fmsup01","fmsp","fsupabr01","fsupabr","farm01","farm","pension01","pension","ueben01","ueben","rent01","rent","benf01","benf","combenf01","combenf","other01","other"
64264019,2,"Female ","Cook                                             ","ISPARTA   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67034028,2,"Female ","Computerized Accounting Staff                    ","ANKARA    ","University - Undergraduate degree",NA,NA,3,1,1,1,1,1,1,33,12000,4,1,3000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",12000,"No",NA,"No",NA,"No",NA,"No",NA
68301005,2,"Female ","Computerized Accounting Staff                    ","HATAY     ","High School (Lycee)",NA,NA,4,1,1,1,1,4,0,24,37200,7,1.6,5314.28571428571,"Yes",21600,"No",NA,"Yes",7200,"No",NA,"No",NA,"No",NA,"Yes",8400,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
64300016,2,"Female ","Machine-Operator, injection moulding/plastics    ","MANISA    ","Junior High/ Middle School (8 years)","Junior High/ Middle School","Junior High/ Middle School",3,NA,3,1,1,4,0,23,2090,3,2.25,696.666666666667,"Yes",900,"Yes",900,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",290,"No",NA,"No",NA
64347012,2,"Male   ","Plumber                                          ","TRABZON   ","Junior High/ Middle School (8 years)","Primary School",NA,3,2,3,2,3,2,0,26,24000,2,2.4,12000,"No",NA,"No",NA,"Yes",12000,"No",NA,"No",NA,"No",NA,"Yes",12000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
64244006,2,"Male   ","Cook                                             ","IZMIR     ","High School (Lycee)","Junior High/ Middle School","Primary School",3,1,1,1,1,3,0,47,8000,1,1.4,8000,"Yes",8000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
66891034,1,"Female ","Old and Sick People Nurse                        ","ANTALYA   ","Junior High/ Middle School (8 years)","Primary School","None",4,2,2,2,2,1,0,29,7200,1,1.8,7200,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",7200,"No",NA,"No",NA,"No",NA
67407022,2,"Female ","Designer                                         ","ISTANBUL  ","High School (Lycee)",NA,NA,4,3,2,2,2,2,0,20,11160,5,2.2,2232,"No",NA,"Yes",10800,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",360,"No",NA,"No",NA,"No",NA,"No",NA
67032012,2,"Female ","Computerized Accounting Staff                    ","ANKARA    ","University - Undergraduate degree",NA,NA,3,3,3,2,2,2,1,21,24000,4,2.4,6000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",24000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
66809043,1,"Female ","Cashier- course 2                                ","ANTALYA   ","Junior High/ Middle School (8 years)",NA,NA,3,3,2,2,1,1,0,18,8200,4,1.8,2050,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",8200,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
