"","id","gen_att","higher_ed","gender","HEF"
"2","65753006",2.2,0,"Female","non-college"
"3","65753016",1.2,0,"Female","non-college"
"4","68232034",2,0,"Female","non-college"
"5","65753008",2.4,0,"Male","non-college"
"6","68233029",2.2,0,"Male","non-college"
"7","66086030",1.6,0,"Female","non-college"
"25","65476047",1,1,"Female","college"
"32","68232024",2,1,"Female","college"
"37","68232018",2.4,1,"Male","college"
"39","65753038",1.4,1,"Female","college"
"49","68233040",2.2,0,"Female","non-college"
"58","65476004",1,0,"Male","non-college"
"61","68233035",1.8,1,"Female","college"
"66","68233007",2,1,"Female","college"
"67","65749011",2.2,1,"Male","college"
"72","68233018",1,0,"Female","non-college"
"78","68233023",2.2,0,"Male","non-college"
"79","66086005",1.4,0,"Female","non-college"
"90","65753045",1.4,1,"Female","college"
"91","65749015",1.8,1,"Female","college"
"94","65493014",2.4,0,"Male","non-college"
"95","65476010",1,0,"Female","non-college"
"105","65749038",1,0,"Female","non-college"
"124","68232022",1.4,1,"Female","college"
"125","68232041",3.2,1,"Male","college"
"126","68233005",1.6,1,"Female","college"
"141","68233037",1.8,1,"Female","college"
"159","65753040",1.8,0,"Female","non-college"
"172","65476016",1,0,"Male","non-college"
"182","65493004",2.4,0,"Male","non-college"
"200","65749001",2.2,1,"Female","college"
"223","68233024",2.6,0,"Female","non-college"
"224","65493047",1.8,0,"Male","non-college"
"279","65753012",1.2,0,"Female","non-college"
"526","65753029",2,0,"Female","non-college"
"527","65753021",2.6,0,"Female","non-college"
"528","65753022",1.2,0,"Female","non-college"
"529","65753007",2,0,"Female","non-college"
"530","68232010",1.2,0,"Female","non-college"
"531","68232012",1.6,0,"Female","non-college"
"532","68232045",1.6,0,"Female","non-college"
"533","68232049",2.2,0,"Female","non-college"
"534","65753049",2,0,"Female","non-college"
"535","65753004",1.4,0,"Female","non-college"
"536","65753014",1.2,0,"Female","non-college"
"537","65753009",1.4,0,"Female","non-college"
"538","68232043",2,0,"Female","non-college"
"539","65753035",1.6,0,"Female","non-college"
"540","65753019",1,0,"Female","non-college"
"541","65753048",1.2,0,"Female","non-college"
"542","68232006",2.2,0,"Female","non-college"
"543","68232039",1.8,0,"Female","non-college"
"544","65753039",1.4,0,"Female","non-college"
"545","68232046",2.2,0,"Female","non-college"
"546","65753042",2.2,0,"Female","non-college"
"547","68232031",2.4,0,"Male","non-college"
"548","68233036",2.4,0,"Female","non-college"
"549","68233038",1.8,0,"Female","non-college"
"550","68233030",1.8,0,"Female","non-college"
"551","68233034",1.8,0,"Male","non-college"
"552","68233027",1,0,"Male","non-college"
"553","66086013",1.2,0,"Female","non-college"
"554","66086036",2,0,"Female","non-college"
"555","66086034",2,0,"Female","non-college"
"556","66086023",2.2,0,"Female","non-college"
"557","66086047",2.4,0,"Male","non-college"
"558","66086041",2,0,"Male","non-college"
"559","66086040",2,0,"Male","non-college"
"560","65493040",1.4,0,"Female","non-college"
"561","65493036",1.6,0,"Female","non-college"
"562","65493008",2.4,0,"Female","non-college"
"563","65493006",2.6,0,"Male","non-college"
"564","65493032",2.4,0,"Male","non-college"
"565","65493029",1.4,0,"Male","non-college"
"566","65493020",2.2,0,"Male","non-college"
"567","65749010",2.8,0,"Female","non-college"
"568","65749027",2,0,"Female","non-college"
"569","65749039",1.4,0,"Female","non-college"
"570","65749022",1.2,0,"Female","non-college"
"571","65749031",2,0,"Female","non-college"
"572","65749033",1.4,0,"Male","non-college"
"573","65749036",2.2,0,"Male","non-college"
"574","65749008",1.8,0,"Male","non-college"
"575","65476018",2.4,0,"Female","non-college"
"576","65476029",1.8,0,"Female","non-college"
"577","65476025",1.4,0,"Female","non-college"
"578","65476024",2.2,0,"Male","non-college"
"579","65476019",2.4,0,"Male","non-college"
"580","65476031",2.6,0,"Male","non-college"
"581","65476050",1.8,0,"Male","non-college"
"1370","68232036",2.4,1,"Female","college"
"1371","65753001",1.6,1,"Female","college"
"1372","68232020",1.6,1,"Female","college"
"1373","65753028",1.8,1,"Female","college"
"1374","68232044",2.4,1,"Female","college"
"1375","68232019",2.6,1,"Male","college"
"1376","68233028",2,1,"Female","college"
"1377","68233012",2.4,1,"Male","college"
"1378","66086037",2,1,"Female","college"
"1379","66086028",2.4,1,"Female","college"
"1380","66086039",1,1,"Female","college"
"1381","66086050",1.2,1,"Female","college"
"1382","66086035",3,1,"Female","college"
"1383","65493017",1.6,1,"Male","college"
"1384","65493002",1.6,1,"Male","college"
"1385","65493028",1,1,"Male","college"
"1386","65493048",2,1,"Male","college"
"1387","65749005",1.4,1,"Male","college"
"1388","65749021",2,1,"Male","college"
"1389","65749024",2,1,"Male","college"
"1390","65476028",1.4,1,"Female","college"
"1391","65476001",2.6,1,"Male","college"
"1392","65476022",3.4,1,"Male","college"
"1393","65476033",2.6,1,"Male","college"
"1394","65476009",2.6,1,"Male","college"
"1395","65476020",3,1,"Male","college"
"2844","65753013",1,0,"Female","non-college"
"3171","68232035",2.2,1,"Female","college"
"3172","68232037",2,1,"Female","college"
"3173","65753017",1.6,1,"Female","college"
"3174","68232047",1.2,1,"Female","college"
"3175","65753005",1.8,1,"Female","college"
"3176","65753023",1.2,1,"Female","college"
"3177","65753010",2,1,"Female","college"
"3178","65753030",1.8,1,"Female","college"
"3179","65753033",2.2,1,"Male","college"
"3180","68232042",2,1,"Male","college"
"3181","68233033",2.6,1,"Female","college"
"3182","68233049",1.8,1,"Female","college"
"3183","68233009",2.2,1,"Female","college"
"3184","66086046",1.4,1,"Female","college"
"3185","66086042",2.2,1,"Female","college"
"3186","66086008",1.4,1,"Female","college"
"3187","66086032",1.6,1,"Female","college"
"3188","66086045",1.8,1,"Male","college"
"3189","65493043",1.4,1,"Female","college"
"3190","65749003",1.4,1,"Female","college"
"3191","65749014",1.6,1,"Female","college"
"3192","65749012",2,1,"Female","college"
"3193","65749017",1.8,1,"Male","college"
"3194","65476041",1.6,1,"Female","college"
"3195","65476042",1.2,1,"Female","college"
"3196","65476014",2,1,"Female","college"
"3197","65476030",2.2,1,"Male","college"
"3198","65476002",1,1,"Male","college"
"3199","65476012",1.8,1,"Male","college"
"3589","65753024",2,0,"Female","non-college"
"3590","65753031",2.4,0,"Female","non-college"
"3591","65753026",1.4,0,"Female","non-college"
"3592","65753027",1.2,0,"Female","non-college"
"3593","65753047",2,0,"Female","non-college"
"3594","68232038",1.2,0,"Female","non-college"
"3595","65753046",1.6,0,"Female","non-college"
"3596","68232004",2.2,0,"Female","non-college"
"3597","68232040",2.6,0,"Female","non-college"
"3598","68233002",1,0,"Female","non-college"
"3599","66086033",1,0,"Female","non-college"
"3600","65493050",2.2,0,"Female","non-college"
"3601","65493018",2.4,0,"Male","non-college"
"3602","65493041",2.2,0,"Male","non-college"
"3603","65493026",2.4,0,"Male","non-college"
"3604","65493012",1,0,"Male","non-college"
"3605","65493025",1.6,0,"Male","non-college"
"3606","65493021",2.2,0,"Male","non-college"
"3607","65493035",2.2,0,"Male","non-college"
"3608","65749032",2,0,"Female","non-college"
"3609","65749004",1.8,0,"Male","non-college"
"3610","65749013",2,0,"Male","non-college"
"3611","65749023",1.4,0,"Male","non-college"
"3612","65749029",2.8,0,"Male","non-college"
"3613","65476013",2,0,"Female","non-college"
"3614","65476048",2,0,"Male","non-college"
"3615","65476046",1,0,"Male","non-college"
"3616","65476035",2,0,"Male","non-college"
"3617","65476038",2.8,0,"Male","non-college"
"3618","65476040",2.5,0,"Male","non-college"
"4025","68233020",2.8,0,"Female","non-college"
"4026","65493034",1.8,0,"Male","non-college"
"4027","65493037",1,0,"Male","non-college"
"4243","65749025",1,1,"Female","college"
"4244","65476032",1,1,"Female","college"
"4283","65476015",1.4,0,"Female","non-college"
"4335","65753044",2,0,"Female","non-college"
"4336","66086029",2,0,"Female","non-college"
"4337","65493016",2.2,0,"Female","non-college"
"4395","68233050",1.6,0,"Female","non-college"
"4467","68232026",1.8,1,"Male","college"
"4500","65493045",2,0,"Male","non-college"
"4748","65749007",2.8,1,"Male","college"
"4764","68233043",1.6,0,"Female","non-college"
"4795","68232033",1.6,0,"Female","non-college"
"4796","66086006",2.2,0,"Female","non-college"
"4797","65493033",1.4,0,"Female","non-college"
"4798","65493038",1.6,0,"Female","non-college"
"4799","65749037",1,0,"Male","non-college"
"4800","65476049",1.8,0,"Male","non-college"
"4821","68233042",3.2,1,"Male","college"
"4842","68233031",1.6,1,"Female","college"
"4843","66086014",1,1,"Female","college"
