id,gen_att,eduNEW
64352009,2.2,Higher education of 2 years
64329039,1,Higher education of 2 years
64338023,2.6,Junior High/ Middle School (8 years)
64344027,2,University - Undergraduate degree
64352019,2.2,Junior High/ Middle School (8 years)
64283021,1,Higher education of 2 years
64346031,2.2,University - Undergraduate degree
64282032,2,Vocational High School (4 years)
64337049,1.8,High School (Lycee) (4 years)
64337018,1,High School (Lycee) (4 years)
64336050,1.4,High School (Lycee) (4 years)
64352027,1,High School (Lycee) (4 years)
64353007,1.2,Higher education of 2 years
64337031,2.4,Junior High/ Middle School (8 years)
64356016,2.4,Junior High/ Middle School (8 years)
64336023,2,Vocational High School (4 years)
64283028,2.2,Vocational High School (4 years)
64356029,2,Higher education of 2 years
64343007,1.6,Vocational High School (4 years)
64330025,2,University - Undergraduate degree
64283040,2.2,High School (Lycee) (4 years)
64346014,2.8,High School (Lycee) (4 years)
64330016,2,High School (Lycee) (4 years)
64356006,2.4,High School (Lycee) (4 years)
64356017,2,Higher education of 2 years
64330015,1.8,Vocational High School (4 years)
64353009,2,High School (Lycee) (4 years)
64329006,2.2,High School (Lycee) (4 years)
64352029,1,Higher education of 2 years
64336021,2,Junior High/ Middle School (8 years)
64356024,2.6,Junior High/ Middle School (8 years)
64353030,1,University - Undergraduate degree
64346017,1,University - Undergraduate degree
64337010,1.2,High School (Lycee) (4 years)
64337009,1.2,High School (Lycee) (4 years)
64337021,2.4,High School (Lycee) (4 years)
64336037,1.6,High School (Lycee) (4 years)
64336005,1.75,High School (Lycee) (4 years)
64282039,2.4,High School (Lycee) (4 years)
64283024,2.4,High School (Lycee) (4 years)
64282019,2.5,High School (Lycee) (4 years)
64282016,2.2,High School (Lycee) (4 years)
64282036,2.2,High School (Lycee) (4 years)
64282013,1.8,High School (Lycee) (4 years)
64282024,2.2,High School (Lycee) (4 years)
64282015,2,High School (Lycee) (4 years)
64283039,1,High School (Lycee) (4 years)
64282038,2,High School (Lycee) (4 years)
64282029,1,High School (Lycee) (4 years)
64283032,1,High School (Lycee) (4 years)
64283017,1,High School (Lycee) (4 years)
64283036,2.4,High School (Lycee) (4 years)
64282035,1,High School (Lycee) (4 years)
64283006,1,High School (Lycee) (4 years)
64283033,2.2,High School (Lycee) (4 years)
64283019,2,High School (Lycee) (4 years)
64282001,2,High School (Lycee) (4 years)
64283025,2.5,High School (Lycee) (4 years)
64343031,2,High School (Lycee) (4 years)
64352034,1.75,High School (Lycee) (4 years)
64343032,1.5,High School (Lycee) (4 years)
64353034,2,High School (Lycee) (4 years)
64343015,1.6,High School (Lycee) (4 years)
64352004,1.6,High School (Lycee) (4 years)
64343019,1.6,High School (Lycee) (4 years)
64352012,1,High School (Lycee) (4 years)
64353031,1.2,High School (Lycee) (4 years)
64343036,1.4,High School (Lycee) (4 years)
64343005,1.4,High School (Lycee) (4 years)
64352015,2.2,High School (Lycee) (4 years)
64353005,1.8,High School (Lycee) (4 years)
64343018,1.2,High School (Lycee) (4 years)
64353012,1.8,High School (Lycee) (4 years)
64352005,1.8,High School (Lycee) (4 years)
64343024,1,High School (Lycee) (4 years)
64343001,4,High School (Lycee) (4 years)
64353015,1,High School (Lycee) (4 years)
64343010,2.4,High School (Lycee) (4 years)
64352038,1.4,High School (Lycee) (4 years)
64353024,2.4,High School (Lycee) (4 years)
64346009,1.4,High School (Lycee) (4 years)
64346006,1,High School (Lycee) (4 years)
64346026,1.6,High School (Lycee) (4 years)
64346024,1.2,High School (Lycee) (4 years)
64346032,1.8,High School (Lycee) (4 years)
64346011,2,High School (Lycee) (4 years)
64346001,1.4,High School (Lycee) (4 years)
64346028,2.2,High School (Lycee) (4 years)
64346029,1,High School (Lycee) (4 years)
64329024,2.2,High School (Lycee) (4 years)
64329025,2.4,High School (Lycee) (4 years)
64329036,1.4,High School (Lycee) (4 years)
64354018,1.6,High School (Lycee) (4 years)
64354033,2.8,High School (Lycee) (4 years)
64329022,2.2,High School (Lycee) (4 years)
64344012,2.4,High School (Lycee) (4 years)
64354011,2.2,High School (Lycee) (4 years)
64344001,2.5,High School (Lycee) (4 years)
64354002,1.2,High School (Lycee) (4 years)
64354012,2,High School (Lycee) (4 years)
64354014,2,High School (Lycee) (4 years)
64354028,2.2,High School (Lycee) (4 years)
64344010,2.2,High School (Lycee) (4 years)
64344030,2,High School (Lycee) (4 years)
64354037,1.2,High School (Lycee) (4 years)
64344008,2.4,High School (Lycee) (4 years)
64344041,2.4,High School (Lycee) (4 years)
64344019,2.2,High School (Lycee) (4 years)
64329027,4,High School (Lycee) (4 years)
64330005,2,High School (Lycee) (4 years)
64330019,2,High School (Lycee) (4 years)
64330017,2,High School (Lycee) (4 years)
64356026,2,High School (Lycee) (4 years)
64356036,2.6,High School (Lycee) (4 years)
64356031,2.2,High School (Lycee) (4 years)
64356001,1.6,High School (Lycee) (4 years)
64356022,2.8,High School (Lycee) (4 years)
64356025,2.2,High School (Lycee) (4 years)
64338017,2.4,High School (Lycee) (4 years)
64338004,2.5,High School (Lycee) (4 years)
64338027,1,High School (Lycee) (4 years)
64338040,2,High School (Lycee) (4 years)
64345007,2.4,High School (Lycee) (4 years)
64345014,2.4,High School (Lycee) (4 years)
64336038,2.6,Higher education of 2 years
64336029,1.8,Higher education of 2 years
64336049,1.6,Higher education of 2 years
64283031,1,Higher education of 2 years
64282027,2,Higher education of 2 years
64282008,1,Higher education of 2 years
64283005,2.2,Higher education of 2 years
64282004,2,Higher education of 2 years
64283014,2,Higher education of 2 years
64283023,2.6,Higher education of 2 years
64282017,2,Higher education of 2 years
64283038,2.8,Higher education of 2 years
64283004,2,Higher education of 2 years
64283001,1,Higher education of 2 years
64283009,2.2,Higher education of 2 years
64343033,1,Higher education of 2 years
64343009,1,Higher education of 2 years
64343026,2,Higher education of 2 years
64343014,1.4,Higher education of 2 years
64353032,2.2,Higher education of 2 years
64353019,1.8,Higher education of 2 years
64352006,2,Higher education of 2 years
64353016,1.8,Higher education of 2 years
64343038,1.75,Higher education of 2 years
64353010,1.4,Higher education of 2 years
64353039,1.8,Higher education of 2 years
64343027,1.2,Higher education of 2 years
64352003,1,Higher education of 2 years
64353001,1.8,Higher education of 2 years
64353008,2,Higher education of 2 years
64352035,1.4,Higher education of 2 years
64343013,1.2,Higher education of 2 years
64353017,2.4,Higher education of 2 years
64353028,1.8,Higher education of 2 years
64346035,2,Higher education of 2 years
64346033,1.8,Higher education of 2 years
64346016,1.2,Higher education of 2 years
64346003,1.4,Higher education of 2 years
64354032,1.4,Higher education of 2 years
64344005,1.4,Higher education of 2 years
64344009,2.2,Higher education of 2 years
64354005,1.2,Higher education of 2 years
64344038,1.4,Higher education of 2 years
64344026,2,Higher education of 2 years
64354026,2,Higher education of 2 years
64354027,1.6,Higher education of 2 years
64329020,1,Higher education of 2 years
64329021,1.8,Higher education of 2 years
64344018,1,Higher education of 2 years
64354019,1.2,Higher education of 2 years
64344025,1.2,Higher education of 2 years
64329005,1,Higher education of 2 years
64354039,2,Higher education of 2 years
64354022,1.2,Higher education of 2 years
64329015,2,Higher education of 2 years
64329002,2.4,Higher education of 2 years
64329007,1.2,Higher education of 2 years
64344037,1,Higher education of 2 years
64344002,2,Higher education of 2 years
64344007,1.6,Higher education of 2 years
64344004,1.6,Higher education of 2 years
64344023,2,Higher education of 2 years
64329003,2,Higher education of 2 years
64329019,2.2,Higher education of 2 years
64344034,1.8,Higher education of 2 years
64344003,1.4,Higher education of 2 years
64330010,2.2,Higher education of 2 years
64330036,2.2,Higher education of 2 years
64330020,2,Higher education of 2 years
64356018,3.2,Higher education of 2 years
64356028,2.6,Higher education of 2 years
64356040,1.6,Higher education of 2 years
64356015,2.4,Higher education of 2 years
64356027,3.2,Higher education of 2 years
64338016,2.2,Higher education of 2 years
64338025,2.6,Higher education of 2 years
64338020,1.6,Higher education of 2 years
64345003,2.4,Higher education of 2 years
64337042,1.8,Junior High/ Middle School (8 years)
64337035,2,Junior High/ Middle School (8 years)
64337003,2.2,Junior High/ Middle School (8 years)
64337039,1,Junior High/ Middle School (8 years)
64337037,2,Junior High/ Middle School (8 years)
64337034,2.4,Junior High/ Middle School (8 years)
64336004,1.4,Junior High/ Middle School (8 years)
64336048,1.6,Junior High/ Middle School (8 years)
64336009,2,Junior High/ Middle School (8 years)
64336032,2,Junior High/ Middle School (8 years)
64336046,1.8,Junior High/ Middle School (8 years)
64336033,1.8,Junior High/ Middle School (8 years)
64283035,2,Junior High/ Middle School (8 years)
64282011,1,Junior High/ Middle School (8 years)
64352028,1,Junior High/ Middle School (8 years)
64343028,1.8,Junior High/ Middle School (8 years)
64343034,2.4,Junior High/ Middle School (8 years)
64352021,1.4,Junior High/ Middle School (8 years)
64343016,3,Junior High/ Middle School (8 years)
64343008,2,Junior High/ Middle School (8 years)
64353013,2.6,Junior High/ Middle School (8 years)
64343035,1.25,Junior High/ Middle School (8 years)
64353020,2.4,Junior High/ Middle School (8 years)
64344013,2.4,Junior High/ Middle School (8 years)
64354036,2,Junior High/ Middle School (8 years)
64354020,2.2,Junior High/ Middle School (8 years)
64354006,2.6,Junior High/ Middle School (8 years)
64329009,1.8,Junior High/ Middle School (8 years)
64330026,1.8,Junior High/ Middle School (8 years)
64330032,2.25,Junior High/ Middle School (8 years)
64330011,2.6,Junior High/ Middle School (8 years)
64330038,1.8,Junior High/ Middle School (8 years)
64330008,2,Junior High/ Middle School (8 years)
64330009,2.6,Junior High/ Middle School (8 years)
64330002,2.2,Junior High/ Middle School (8 years)
64330014,2.6,Junior High/ Middle School (8 years)
64356021,2.4,Junior High/ Middle School (8 years)
64356034,2.2,Junior High/ Middle School (8 years)
64356012,2.4,Junior High/ Middle School (8 years)
64338030,2,Junior High/ Middle School (8 years)
64338011,1.6,Junior High/ Middle School (8 years)
64338013,1.2,Junior High/ Middle School (8 years)
64338036,2,Junior High/ Middle School (8 years)
64338033,2.2,Junior High/ Middle School (8 years)
64338001,2.6,Junior High/ Middle School (8 years)
64338029,2.8,Junior High/ Middle School (8 years)
64338031,2,Junior High/ Middle School (8 years)
64338012,1.8,Junior High/ Middle School (8 years)
64338026,2.8,Junior High/ Middle School (8 years)
64338038,2,Junior High/ Middle School (8 years)
64338034,1.75,Junior High/ Middle School (8 years)
64338021,2.4,Junior High/ Middle School (8 years)
64338015,3,Junior High/ Middle School (8 years)
64338019,2.2,Junior High/ Middle School (8 years)
64338010,2.6,Junior High/ Middle School (8 years)
64345024,2.4,Junior High/ Middle School (8 years)
64345009,2.4,Junior High/ Middle School (8 years)
64345010,2.8,Junior High/ Middle School (8 years)
64345016,2.8,Junior High/ Middle School (8 years)
64345022,2.2,Junior High/ Middle School (8 years)
64345012,3,Junior High/ Middle School (8 years)
64345017,3.2,Junior High/ Middle School (8 years)
64343022,1.6,Primary School (5 years)
64337048,3.4,Primary School (5 years)
64337017,2,Primary School (5 years)
64337007,2.4,Primary School (5 years)
64337041,2,Primary School (5 years)
64337013,1.2,Primary School (5 years)
64337008,2.6,Primary School (5 years)
64336008,2.4,Primary School (5 years)
64336018,1.4,Primary School (5 years)
64336044,2.2,Primary School (5 years)
64352040,1.8,Primary School (5 years)
64352002,2.2,Primary School (5 years)
64343021,1.6,Primary School (5 years)
64343040,1.2,Primary School (5 years)
64343029,1.6,Primary School (5 years)
64338005,2,Primary School (5 years)
64345011,2.6,Primary School (5 years)
64345013,1.75,Primary School (5 years)
64337015,1.6,University - Undergraduate degree
64336001,1.4,University - Undergraduate degree
64282021,1,University - Undergraduate degree
64283037,2.4,University - Undergraduate degree
64282006,1.8,University - Undergraduate degree
64282002,1.6,University - Undergraduate degree
64283007,2,University - Undergraduate degree
64283020,1.75,University - Undergraduate degree
64282005,1.8,University - Undergraduate degree
64283008,2.6,University - Undergraduate degree
64353011,1,University - Undergraduate degree
64353029,1,University - Undergraduate degree
64352018,1,University - Undergraduate degree
64353021,2.25,University - Undergraduate degree
64353018,2.2,University - Undergraduate degree
64352033,2.8,University - Undergraduate degree
64346015,2.2,University - Undergraduate degree
64346012,1.6,University - Undergraduate degree
64346038,2.2,University - Undergraduate degree
64346020,1,University - Undergraduate degree
64346010,2.8,University - Undergraduate degree
64346013,2,University - Undergraduate degree
64346018,1.6,University - Undergraduate degree
64344016,1,University - Undergraduate degree
64329032,2,University - Undergraduate degree
64329013,1,University - Undergraduate degree
64329010,1.8,University - Undergraduate degree
64344020,1.75,University - Undergraduate degree
64329030,1.4,University - Undergraduate degree
64354016,1.6,University - Undergraduate degree
64329033,1.4,University - Undergraduate degree
64354030,1.8,University - Undergraduate degree
64344035,2.8,University - Undergraduate degree
64329014,2,University - Undergraduate degree
64354013,1.75,University - Undergraduate degree
64354003,2.2,University - Undergraduate degree
64344028,1.4,University - Undergraduate degree
64329012,1.6,University - Undergraduate degree
64354025,2,University - Undergraduate degree
64329037,2.2,University - Undergraduate degree
64330013,2,University - Undergraduate degree
64330023,2,University - Undergraduate degree
64356009,2.2,University - Undergraduate degree
64337004,1,Vocational High School (4 years)
64336013,1,Vocational High School (4 years)
64336024,2.4,Vocational High School (4 years)
64336015,1.6,Vocational High School (4 years)
64282033,1.8,Vocational High School (4 years)
64283002,2,Vocational High School (4 years)
64283022,2,Vocational High School (4 years)
64282022,2,Vocational High School (4 years)
64282040,2,Vocational High School (4 years)
64282025,2.2,Vocational High School (4 years)
64343020,1.2,Vocational High School (4 years)
64343011,1.6,Vocational High School (4 years)
64352007,1.8,Vocational High School (4 years)
64352014,2,Vocational High School (4 years)
64353025,1,Vocational High School (4 years)
64352023,2.6,Vocational High School (4 years)
64353040,2.5,Vocational High School (4 years)
64343025,2.6,Vocational High School (4 years)
64343023,2.6,Vocational High School (4 years)
64353038,2.6,Vocational High School (4 years)
64346023,1.2,Vocational High School (4 years)
64329016,1.4,Vocational High School (4 years)
64344021,1.6,Vocational High School (4 years)
64344036,1.25,Vocational High School (4 years)
64329040,2.4,Vocational High School (4 years)
64354038,2.6,Vocational High School (4 years)
64344014,2,Vocational High School (4 years)
64344022,2.2,Vocational High School (4 years)
64329031,2,Vocational High School (4 years)
64329023,2.4,Vocational High School (4 years)
64329038,2.4,Vocational High School (4 years)
64330024,3,Vocational High School (4 years)
