id,gen_att,higher_ed,gender,HEF
64431013,1.4,0,Male,non-college
61177029,1.2,1,Female,college
62617009,1.8,1,Male,college
61177002,2,1,Female,college
65240029,2.4,0,Male,non-college
64431049,1.8,1,Male,college
65240041,1.8,0,Female,non-college
61177033,1,0,Female,non-college
61177007,2,0,Female,non-college
61177009,1.6,0,Female,non-college
61177024,2.4,0,Female,non-college
61177022,2.4,0,Female,non-college
61177035,1.8,0,Male,non-college
61177016,1.8,0,Male,non-college
65240058,2.4,0,Female,non-college
65240103,1,0,Female,non-college
65240004,2.25,0,Female,non-college
65240048,1.8,0,Female,non-college
65240112,1.8,0,Female,non-college
65240013,2.6,0,Female,non-college
65240053,1.8,0,Female,non-college
65240066,1.8,0,Female,non-college
65240113,2.4,0,Female,non-college
65240091,2.2,0,Female,non-college
65240107,1.8,0,Female,non-college
65240080,1.6,0,Female,non-college
65240023,1.6,0,Female,non-college
65240092,2.2,0,Female,non-college
65240060,2.2,0,Male,non-college
65240035,2.8,0,Male,non-college
65240009,2,0,Male,non-college
65240001,2.4,0,Male,non-college
65240086,2.2,0,Male,non-college
64431016,2.2,0,Female,non-college
64431058,2,0,Female,non-college
64431022,2.25,0,Female,non-college
64431009,1.4,0,Female,non-college
64431057,2.4,0,Female,non-college
64431010,3.4,0,Male,non-college
64431051,2.2,0,Male,non-college
64431036,2.2,0,Male,non-college
66264022,2.8,0,Male,non-college
66264030,2.4,0,Male,non-college
62617028,1.6,0,Female,non-college
62617019,1.4,0,Female,non-college
62617010,2.2,0,Female,non-college
62617005,2.2,0,Female,non-college
62617024,2.4,0,Female,non-college
62617021,2,0,Female,non-college
62617018,2.6,0,Male,non-college
62617011,2.6,0,Male,non-college
61177027,1.6,1,Female,college
61177034,2.8,1,Male,college
61177039,2.4,1,Male,college
61177036,2.2,1,Male,college
61177019,2.2,1,Male,college
61177031,1.6,1,Male,college
61177023,2.2,1,Male,college
61177020,1.6,1,Male,college
61177013,1.6,1,Male,college
65240076,2.4,1,Female,college
65240116,1.6,1,Female,college
65240065,2.4,1,Female,college
65240005,1.8,1,Female,college
65240093,1.8,1,Female,college
65240016,1.6,1,Female,college
65240117,1.6,1,Female,college
65240039,2.25,1,Male,college
65240055,2.2,1,Male,college
64431034,2.4,1,Female,college
64431012,1.6,1,Female,college
64431017,2,1,Female,college
64431015,2,1,Female,college
64431046,1.75,1,Female,college
64431054,1.6,1,Female,college
64431045,1.4,1,Female,college
64431044,2.8,1,Male,college
64431021,3.2,1,Male,college
64431008,1.6,1,Male,college
64431002,2.8,1,Male,college
64431060,2.2,1,Male,college
62617016,2.2,1,Female,college
62617015,1.6,1,Male,college
65240002,1.8,0,Female,non-college
65240075,2.2,0,Female,non-college
65240034,1.4,0,Female,non-college
65240028,1.6,0,Female,non-college
65240012,1.6,0,Female,non-college
65240097,2.2,0,Female,non-college
65240033,2.2,0,Male,non-college
65240059,1.8,0,Male,non-college
65240077,2.6,0,Male,non-college
65240099,2.2,0,Male,non-college
65240074,2.6,0,Male,non-college
65240067,2.6,0,Male,non-college
65240015,3,0,Male,non-college
66264018,2.2,0,Male,non-college
66264027,2.4,0,Male,non-college
66264013,2.4,0,Male,non-college
65240044,2.2,0,Female,non-college
65240081,1.8,0,Female,non-college
65240007,1.4,0,Female,non-college
64431024,2,0,Male,non-college
66264007,3.2,0,Male,non-college
66264025,2.4,0,Male,non-college
66264031,3,0,Male,non-college
66264005,1.4,0,Male,non-college
61177025,1.4,1,Female,college
61177003,2,1,Female,college
61177026,2.2,1,Female,college
61177012,1.6,1,Female,college
65240105,2.2,1,Female,college
65240100,1.6,1,Female,college
65240061,2,1,Male,college
65240063,2,1,Male,college
64431038,2,1,Female,college
64431052,2.4,1,Female,college
64431042,2.2,1,Female,college
64431028,1.6,1,Female,college
64431033,1.4,1,Female,college
64431006,1.6,1,Female,college
64431053,1.6,1,Female,college
64431026,2.4,1,Female,college
64431050,1.4,1,Female,college
64431030,1.4,1,Female,college
64431011,1.4,1,Female,college
64431037,1.4,1,Female,college
64431040,3.2,1,Male,college
64431031,2.2,1,Male,college
64431035,1.8,1,Male,college
64431047,1.2,1,Male,college
64431043,1.2,1,Male,college
64431041,1.6,1,Male,college
64431019,2,1,Male,college
64431003,2.8,1,Male,college
64431027,1.8,1,Male,college
62617017,1.2,1,Female,college
62617023,2.6,1,Male,college
62617004,1.2,1,Male,college
65240090,2.6,0,Female,non-college
61177004,2,0,Female,non-college
61177021,1.6,0,Female,non-college
61177011,2.6,0,Male,non-college
65240042,1.6,0,Female,non-college
65240024,2.2,0,Female,non-college
65240069,2,0,Female,non-college
65240073,1.6,0,Female,non-college
65240109,1,0,Female,non-college
65240037,2.6,0,Female,non-college
65240104,2.4,0,Male,non-college
65240052,2.8,0,Male,non-college
66264006,2.2,0,Male,non-college
62617013,2,0,Female,non-college
62617001,2.2,0,Female,non-college
62617026,2.6,0,Male,non-college
62617007,1.6,0,Male,non-college
65240096,1,0,Female,non-college
66264019,2.8,0,Male,non-college
66264026,2.4,0,Male,non-college
65240087,1.8,0,Male,non-college
65240006,2.2,0,Male,non-college
65240072,1.6,0,Female,non-college
65240018,1.6,0,Female,non-college
66264010,2.4,0,Male,non-college
64431056,1.6,1,Female,college
65240049,1.4,0,Male,non-college
61177006,2.2,1,Male,college
61177010,2.2,1,Female,college
65240040,1.6,0,Female,non-college
66264029,2.4,0,Male,non-college
65240114,2,0,Female,non-college
66264023,2.4,0,Male,non-college
66264011,1.4,0,Male,non-college
61177018,1.8,1,Female,college
61177028,2.2,0,Female,non-college
62617020,2.2,0,Female,non-college
61177001,2.4,0,Female,non-college
65240022,2,0,Female,non-college
66264032,2.4,0,Male,non-college
66264017,2.8,0,Male,non-college
64431048,2,1,Female,college
66264033,2.6,0,Male,non-college
65240003,2,0,Female,non-college
65240102,2.4,0,Female,non-college
65240027,1.4,0,Female,non-college
65240088,2.4,0,Female,non-college
65240036,2.2,0,Female,non-college
65240032,2.4,0,Female,non-college
65240046,2.4,0,Female,non-college
66264034,2.4,0,Male,non-college
61177030,2.8,1,Male,college
64431025,2,1,Male,college
66264020,2.8,0,Male,non-college
62617025,2.2,0,Male,non-college
62617027,2,0,Female,non-college
64431029,1.8,1,Female,college
65240085,2.6,0,Male,non-college
65240098,1.8,1,Female,college
65240008,2,0,Female,non-college
66264008,2.2,0,Male,non-college
65240047,2.2,1,Female,college
65240051,2.25,0,Female,non-college
64431059,1.8,1,Female,college
66264028,1.8,0,Male,non-college
65240030,1.8,0,Male,non-college
65240025,2.4,0,Female,non-college
65240038,1.6,0,Female,non-college
65240031,2.6,0,Female,non-college
65240064,2,0,Female,non-college
65240101,2,0,Female,non-college
65240056,1.6,0,Female,non-college
65240089,1.4,0,Female,non-college
65240118,2,0,Female,non-college
65240082,2,0,Female,non-college
65240079,2.6,0,Male,non-college
65240095,2,0,Male,non-college
64431018,2,0,Male,non-college
66264004,2.6,0,Male,non-college
65240026,2.8,1,Male,college
64431032,2.6,1,Male,college
65240068,1.4,0,Female,non-college
65240043,2,0,Female,non-college
65240050,1.4,0,Female,non-college
66264021,2,0,Male,non-college
65240083,2.2,0,Female,non-college
65240020,2.6,0,Male,non-college
65240111,2.4,0,Female,non-college
65240106,1,0,Female,non-college
65240045,2.4,0,Female,non-college
65240070,1.8,0,Female,non-college
66264009,2.4,0,Male,non-college
66264003,2.2,0,Male,non-college
62617002,1.4,1,Female,college
64431004,2.4,0,Female,non-college
61177040,1,0,Female,non-college
61177005,1.4,0,Female,non-college
61177032,2.2,0,Female,non-college
61177038,1.4,0,Female,non-college
65240108,2,0,Female,non-college
65240094,1,0,Female,non-college
65240110,2,0,Female,non-college
65240120,2.4,0,Female,non-college
65240115,2,0,Female,non-college
64431055,2.2,0,Female,non-college
64431039,2,0,Male,non-college
65240010,2.2,1,Female,college
65240017,1.6,1,Female,college
61177037,2.4,0,Female,non-college
61177017,2.2,1,Female,college
64431007,1.6,1,Female,college
61177014,2.2,0,Male,non-college
61177015,2.4,0,Male,non-college
