"","id","gen_att","wage01"
"36",64361029,2.4,"Yes"
"43",64357092,3.6,"Yes"
"74",64358018,2.4,"No"
"122",64361013,2.8,"Yes"
"219",64357080,1,"Yes"
"1161",64358029,2.6,"No"
"1162",64358019,2.2,"No"
"1163",64358027,2,"Yes"
"1164",64358022,1.2,"Yes"
"1165",64358015,1.8,"Yes"
"1166",64358025,2.4,"Yes"
"1167",64358024,1.4,"No"
"1168",64358004,2.4,"Yes"
"1169",64347018,2.4,"No"
"1170",64347001,2,"Yes"
"1171",64347014,2.8,"No"
"1172",64347021,2.2,"Yes"
"1173",64347008,2.6,"No"
"1174",64347009,2.2,"No"
"1175",64357067,1.6,"Yes"
"1176",64357006,2,"Yes"
"1177",64357038,1.4,"Yes"
"1178",64357027,1.8,"No"
"1179",64357072,1,"No"
"1180",64357031,1.4,"Yes"
"1181",64357094,2,"No"
"1182",64357086,2.4,"No"
"1183",64357066,2,"No"
"1184",64357089,3,"No"
"1185",64357015,1.6,"No"
"1186",64357020,2.2,"No"
"1187",64357011,2.8,"Yes"
"1188",64357093,2.2,"Yes"
"1189",64357059,2.2,"Yes"
"1190",64357048,2.4,"Yes"
"1191",64357034,2.2,"Yes"
"1192",64357078,1.6,"Yes"
"1193",64357030,3,"No"
"1194",64357061,1.2,"Yes"
"1195",64357098,2.2,"No"
"1196",64361028,2.4,"Yes"
"1197",64361017,2,"No"
"1198",64361014,2,"Yes"
"1199",64361026,2.2,"No"
"1200",64361016,2,"Yes"
"1804",64358021,1.8,"Yes"
"1805",64358007,2,"Yes"
"1806",64358006,2,"Yes"
"1807",64358013,2.2,"No"
"1808",64358005,2,"Yes"
"1809",64357084,1,"No"
"1810",64357062,1.4,"No"
"1811",64357087,2.6,"Yes"
"1812",64357008,2,"Yes"
"1813",64357046,1,"No"
"1814",64357012,1.6,"No"
"1815",64357052,1.8,"No"
"1816",64361001,2,"Yes"
"2228",64358012,1.4,"Yes"
"2229",64358030,2.4,"Yes"
"2230",64358017,1.8,"Yes"
"2231",64358016,3.2,"Yes"
"2232",64347016,2.2,"No"
"2233",64347023,3,"Yes"
"2234",64357037,1.4,"No"
"2235",64357026,1.8,"Yes"
"2236",64357003,1.2,"Yes"
"2237",64357035,1.8,"No"
"2238",64357007,2,"Yes"
"2239",64357041,2.6,"No"
"2240",64357029,2.2,"Yes"
"2241",64357075,3.6,"Yes"
"2242",64357082,1.8,"No"
"2243",64357045,2.4,"No"
"2244",64361015,1.8,"Yes"
"2800",64358001,NA,NA
"2801",64358031,NA,NA
"2802",64358008,NA,NA
"2803",64347013,NA,NA
