"","DISCIPLINE","DISC_NAME","TOTTTD","AGE","MEAN_AGE","DEPENDS","MALE","MARITAL","CITIZ","MEAN_CITIZ","PHDCY","PHDMONTH","RACE","AMERIND","ASIAN","BLACK","HAWAIIAN","WHITE","HISPANIC","HISPORIG"
"1",1,"Life Sciences    ",13.2518822724162,36.41889,34.62594,0,1,1,1,0.62,2004,8,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"Life Sciences    ",5,29.91513,34.62594,0,1,0,0,0.62,2004,8,10,2,2,2,2,1,2,NA
"3",1,"Life Sciences    ",10.3340177960301,30.91513,34.62594,0,1,1,0,0.62,2004,8,3,2,1,2,2,2,2,NA
"4",1,"Life Sciences    ",15.4188911704314,37.57837,34.62594,0,1,0,0,0.62,2004,8,3,2,1,2,2,2,2,NA
"5",1,"Life Sciences    ",10.2518822724162,32.83299,34.62594,0,0,1,1,0.62,2004,8,9,2,2,2,2,1,1,3
"6",1,"Life Sciences    ",20.6659822039699,45.66598,34.62594,1,1,0,0,0.62,2004,8,7,NA,NA,NA,NA,NA,1,0
"7",1,"Life Sciences    ",5.2518822724162,28.74812,34.62594,0,1,0,1,0.62,2004,8,9,NA,NA,NA,NA,NA,1,3
"8",1,"Life Sciences    ",13.1670088980152,36.33402,34.62594,0,0,0,0,0.62,2004,8,5,2,2,1,2,2,2,NA
"9",1,"Life Sciences    ",22.0848733744012,42.16701,34.62594,1,1,1,0,0.62,2004,8,3,2,1,2,2,2,2,NA
"10",1,"Life Sciences    ",9.66598220396986,33,34.62594,NA,1,0,0,0.62,2004,8,3,2,1,2,2,2,2,NA
"11",1,"Life Sciences    ",4.2518822724162,26.4935,34.62594,0,0,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"12",1,"Life Sciences    ",7.08487337440124,29.08487,34.62594,0,0,0,0,0.62,2004,8,10,2,2,2,2,1,2,NA
"13",1,"Life Sciences    ",NA,25.4935,34.62594,NA,1,0,0,0.62,2004,8,10,2,2,2,2,1,2,NA
"14",1,"Life Sciences    ",16.4934976043805,44.66598,34.62594,2,1,1,0,0.62,2004,8,9,2,2,2,2,1,1,3
"15",1,"Life Sciences    ",15.1670088980152,37.4935,34.62594,0,0,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"16",1,"Life Sciences    ",7.08487337440124,28.4935,34.62594,0,1,0,0,0.62,2004,8,3,2,1,2,2,2,2,NA
"17",1,"Life Sciences    ",6.57837097878178,28.33402,34.62594,0,0,0,0,0.62,2004,8,10,2,2,2,2,1,2,NA
"18",1,"Life Sciences    ",13.0848733744012,33.83299,34.62594,0,1,0,0,0.62,2004,8,10,2,2,2,2,1,2,NA
"19",1,"Life Sciences    ",22.0848733744012,46.08487,34.62594,0,1,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"20",1,"Life Sciences    ",10.6659822039699,35.4935,34.62594,3,1,1,0,0.62,2004,8,9,2,2,2,2,1,1,3
"21",1,"Life Sciences    ",14.2518822724162,36.57837,34.62594,1,1,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"22",1,"Life Sciences    ",14.2518822724162,37.25188,34.62594,0,1,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"23",1,"Life Sciences    ",9,31.41889,34.62594,0,1,1,1,0.62,2004,8,9,2,2,2,2,1,1,2
"24",1,"Life Sciences    ",12.2518822724162,34.66598,34.62594,0,0,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"25",1,"Life Sciences    ",5.2518822724162,27.4935,34.62594,1,0,1,1,0.62,2004,8,3,2,1,2,2,2,2,NA
"26",1,"Life Sciences    ",4.2518822724162,26.66598,34.62594,0,0,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"27",1,"Life Sciences    ",4.08487337440124,25.74812,34.62594,0,0,1,1,0.62,2004,8,6,NA,NA,NA,NA,NA,1,1
"28",1,"Life Sciences    ",9.08487337440124,31.57837,34.62594,0,1,1,0,0.62,2004,8,3,2,1,2,2,2,2,NA
"29",1,"Life Sciences    ",8.2518822724162,29.91513,34.62594,0,1,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"30",1,"Life Sciences    ",7.2518822724162,29.83299,34.62594,1,0,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"31",1,"Life Sciences    ",5.2518822724162,27.16701,34.62594,0,0,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"32",1,"Life Sciences    ",10.0848733744012,36.66598,34.62594,3,0,1,1,0.62,2004,8,10,2,2,2,2,1,NA,NA
"33",1,"Life Sciences    ",11.2518822724162,33.4935,34.62594,4,1,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"34",1,"Life Sciences    ",8.2518822724162,30.25188,34.62594,0,1,0,1,0.62,2004,8,5,2,2,1,2,2,2,NA
"35",1,"Life Sciences    ",13.1670088980152,34.83299,34.62594,1,1,1,0,0.62,2004,8,3,2,1,2,2,2,2,NA
"36",1,"Life Sciences    ",14,37.4935,34.62594,2,1,1,0,0.62,2004,8,9,NA,NA,NA,NA,NA,1,3
"37",1,"Life Sciences    ",7.2518822724162,28.66598,34.62594,0,0,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"38",1,"Life Sciences    ",11.0848733744012,34.08487,34.62594,0,1,0,0,0.62,2004,8,3,2,1,2,2,2,2,NA
"39",1,"Life Sciences    ",6.16700889801518,29.08487,34.62594,0,0,0,0,0.62,2004,8,10,2,2,2,2,1,2,NA
"40",1,"Life Sciences    ",5,30.83299,34.62594,0,1,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"41",1,"Life Sciences    ",5.2518822724162,NA,34.62594,NA,0,NA,NA,0.62,2004,8,10,2,2,2,2,1,NA,NA
