id,condition,CABpre,CABpost,teacherid
1,treatment,159,206,2
2,treatment,153,164,2
3,treatment,162,151,2
4,treatment,170.6470588,183,2
5,treatment,223,200,2
6,treatment,218,249,2
7,treatment,196,166,2
8,treatment,118,140,2
9,treatment,275,253,2
10,treatment,225,238,2
11,treatment,163,150,2
12,treatment,265,276,2
13,treatment,90,88,3
14,treatment,114,115,3
15,treatment,263,280,3
16,treatment,184,200,3
17,treatment,169,265,3
18,treatment,126,148,3
19,treatment,136,177,3
20,treatment,193,207,3
21,treatment,100,117,3
22,treatment,191,210,3
23,treatment,257,188,3
24,treatment,259,256,3
25,control,191,241,4
26,control,73,76,4
27,control,79,98,4
28,control,161,177,4
29,control,78,76,4
30,control,94,90,4
31,control,115,139,4
32,control,193,154,4
33,control,74,76,4
34,control,78,76,4
35,control,260,298,4
36,control,70,84,4
37,treatment,93,78,5
38,treatment,151,90,5
39,treatment,93,74,5
40,treatment,83,82,5
41,treatment,130,158,5
42,treatment,151,169,5
43,treatment,107,155,5
44,treatment,133,115,5
45,treatment,185,138,5
46,treatment,123,130.9294118,5
47,treatment,155,152,5
48,treatment,248,181,5
49,treatment,146,137,7
50,treatment,129.4117647,129,7
51,treatment,235,240,7
52,treatment,184,210,7
53,treatment,111,124.9411765,7
54,treatment,294,254,7
55,treatment,172,189,7
56,treatment,115,130,7
57,treatment,73,124,7
58,treatment,162,144,7
59,treatment,227,194,7
60,treatment,231,265.9411765,7
61,control,208,251,9
62,control,226,281,9
63,control,250,290.9411765,9
64,control,170,201,9
65,control,98,159,9
66,control,186,210.6666667,9
67,control,252,255.7058824,9
68,control,234,198,9
69,control,212,222,9
70,control,200.3529412,268,9
71,control,267.2352941,323,9
72,control,221,261.5294118,9
73,treatment,151,140,13
74,treatment,168,152,13
75,treatment,144,70,13
76,treatment,192,210,13
77,treatment,194,217,13
78,treatment,144,210,13
79,treatment,201,206,13
80,treatment,150,129,13
81,treatment,165,210,13
82,treatment,161,130,13
