ID	Onee	Capital_costs	Labor_costs	 Energy_costs	Electrical_output
1	1	98.288	0.386	13.219	1.27
2	1	255.068	1.179	49.145	4.597
3	1	208.904	0.532	18.005	1.985
4	1	528.864	1.836	75.639	9.897
5	1	307.419	1.136	52.234	5.907
6	1	138.283	1.085	9.027	1.832
7	1	418.883	2.39	41.676	4.865
8	1	247.439	1.356	31.244	2.728
9	1	19.478	0.115	1.739	0.125
10	1	537.54	2.591	104.584	9.685
11	1	605.507	2.789	82.296	8.727
12	1	174.765	0.933	21.99	2.239
13	1	946.766	4.004	125.351	10.077
14	1	296.49	1.513	43.232	4.477
15	1	645.69	2.54	75.581	7.037
16	1	288.975	1.416	42.037	3.507
