AnketNo,Cinsiyet,Sinif,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53
1,E,8,1,4,2,1,1,1,4,4,4,1,1,4,4,1,1,4,4,3,1,1,1,4,1,4,1,4,2,3,4,1,1,1,1,3,4,3,1,1,1,1,4,2,1,4,2,4,1,4,2,1,2,3,2
2,E,8,1,2,4,1,2,2,2,2,2,2,3,4,3,1,2,2,4,4,4,1,1,2,2,4,4,3,2,3,4,3,2,4,3,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2
3,E,8,3,3,4,1,4,1,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,1,4,4,3,1,1,4,1,1,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,1,4,2
4,E,8,1,3,2,3,2,2,4,4,3,1,1,4,4,3,2,4,4,4,1,1,1,3,4,3,2,3,2,4,4,4,2,2,1,1,4,4,3,1,4,4,4,1,4,1,1,4,4,4,4,1,1,1,1
5,E,8,2,1,4,1,1,1,2,4,4,2,1,4,2,4,4,4,4,4,2,1,4,4,3,4,2,2,1,4,4,1,2,4,4,3,4,4,3,4,2,4,4,1,4,1,4,2,4,4,4,2,2,4,1
6,E,8,2,4,4,2,3,1,4,3,4,1,1,3,3,2,3,3,2,2,2,1,3,2,1,3,1,3,1,1,2,3,1,4,4,2,3,2,1,2,1,4,4,1,2,3,1,4,3,4,3,1,1,2,2
7,E,8,4,4,4,4,4,4,4,4,4,4,1,1,4,1,4,4,3,2,4,1,3,1,1,4,4,4,4,4,1,4,1,1,4,3,4,2,3,4,4,1,4,1,2,4,4,4,3,4,4,4,1,2,2
8,K,8,2,4,4,3,1,1,4,4,4,3,1,4,3,4,4,4,4,4,3,1,4,4,4,3,4,2,1,2,4,4,1,3,4,2,4,4,4,3,4,3,4,1,4,3,3,4,4,4,4,4,3,4,4
9,K,8,2,4,4,1,3,1,4,4,4,3,1,4,3,4,4,4,4,4,3,1,4,4,4,3,4,2,1,1,4,4,1,3,4,2,2,4,4,3,4,4,4,1,4,3,4,4,4,4,4,4,3,4,4
10,K,8,1,3,4,1,3,2,4,4,2,2,1,3,3,2,2,4,4,4,4,1,4,2,2,3,2,3,4,2,3,1,3,4,4,3,3,2,3,4,4,2,3,1,3,4,4,4,2,4,2,3,2,3,3
